"VESTIGINGSNUMMER","url","PROVINCIE","BEVOEGD.GEZAG.NUMMER","BRIN.NUMMER","VESTIGINGSNAAM","STRAATNAAM","HUISNUMMER.TOEVOEGING","POSTCODE","PLAATSNAAM","GEMEENTENUMMER","GEMEENTENAAM","DENOMINATIE","TELEFOONNUMMER","INTERNETADRES","STRAATNAAM.CORRESPONDENTIEADRES","HUISNUMMER.TOEVOEGING.CORRESPONDENTIEADRES","POSTCODE.CORRESPONDENTIEADRES","PLAATSNAAM.CORRESPONDENTIEADRES","NODAAL.GEBIED.CODE","NODAAL.GEBIED.NAAM","RPA.GEBIED.CODE","RPA.GEBIED.NAAM","WGR.GEBIED.CODE","WGR.GEBIED.NAAM","COROPGEBIED.CODE","COROPGEBIED.NAAM","ONDERWIJSGEBIED.CODE","ONDERWIJSGEBIED.NAAM","RMC.REGIO.CODE","RMC.REGIO.NAAM"
"03VQ00",NA,"Gelderland",40812,"03VQ","Basisschool Kunst Rijk","Kazerneplein","2","6822 ET","ARNHEM",202,"ARNHEM","Rooms-Katholiek",264431438,"                                                                                ","Kazerneplein","2","6822 ET","ARNHEM",26,"Arnhem",11,"IJssel en Rijn",14,"Arnhem/Nijmegen",15,"Arnhem/Nijmegen",9,"Arnhem en omstreken",14,"Arnhem/Nijmegen"
"03VR00",NA,"Gelderland",41090,"03VR","Franciscus-School voor Basisonderwijs","Aakstraat","6","5301 TP","ZALTBOMMEL",297,"ZALTBOMMEL","Rooms-Katholiek",418512135,"www.fransiscusschool.nl","Aakstraat","6","5301 TP","ZALTBOMMEL",32,"Zaltbommel",14,"Rivierenland",15,"Rivierenland",16,"Zuidwest-Gelderland",12,"Noord-Noord-Brabant",15,"Rivierenland"
"03VS00","https://www.st-theresiabloemendaal.nl/syndeo_data/media/schoolgids_oktober_2016.pdf","Noord-Holland",40775,"03VS","Rooms Katholieke Basisschool Sint Theresia","Dennenweg","14","2061 HX","BLOEMENDAAL",377,"BLOEMENDAAL","Rooms-Katholiek",235257924,"www.st-theresiabloemendaal.nl","Dennenweg","14","2061 HX","BLOEMENDAAL",43,"Haarlem",20,"Zuidelijk Noord-Holland",25,"West-Kennemerland",21,"Agglomeratie Haarlem",15,"Zuid-Noord-Holland",25,"West-Kennemerland"
"03VT00",NA,"Gelderland",43487,"03VT","Basisschool De Ruijter","De Ruyterstraat","1","6551 CH","WEURT",209,"BEUNINGEN","Rooms-Katholiek",246771731,"www.bsderuyter.nl","Kapittelweg","2-B","6551 EB","WEURT",30,"Nijmegen",13,"Nijmegen",14,"Arnhem/Nijmegen",15,"Arnhem/Nijmegen",11,"Oostelijk Maas-Waalgebied",14,"Arnhem/Nijmegen"
"03VV00",NA,"Noord-Holland",55238,"03VV","Sint Joseph-School","Grote Sloot","116-A","1754 JJ","BURGERBRUG",441,"SCHAGEN","Rooms-Katholiek",226381615,"ww.stjosephb.nl","Den Gouden Hoeck","6","1754 KL","BURGERBRUG",37,"Den Helder",19,"Noord-Holland-Noord",23,"Kop van Noord-Holland",18,"Kop van Noord-Holland",14,"Noord-Noord-Holland",23,"Kop van Noord-Holland"
"03VW00","http://www.merwijck.nl/downloads/schoolgids%202017%202018.pdf","Limburg",47959,"03VW","Rooms Katholieke Basisschool De Merwijck","Merwijckstraat","16","5995 XK","KESSEL LB",1894,"PEEL EN MAAS","Rooms-Katholiek",774621431,"www.merwijck.nl","Merwijckstraat","16","5995 XK","KESSEL LB",76,"Venlo",29,"Noord-Limburg",38,"Noord-Limburg",37,"Noord-Limburg",23,"Noord-Limburg",38,"Gewest Limburg-Noord"
"03VX00","http://elsenhof.nl/ppinhoud/uploads/2016/12/Schoolgids17-18.pdf","Noord-Brabant",43967,"03VX","Basisschool De Elsenhof","van den Elsenplein","17","4845 EB","WAGENBERG",1719,"DRIMMELEN","Rooms-Katholiek",765938130,"www.elsenhof.nl","van den Elsenplein","17","4845 EB","WAGENBERG",66,"Breda",25,"West-Brabant",34,"West-Brabant",33,"West-Noord-Brabant",20,"West-Noord-Brabant",34,"West-Brabant"
"03VZ00","https://www.bs-despringplank.nl/downloads/Jaargebonden%20deel%20Schoolgids%202017-2018%20BS%20De%20Springplank.pdf","Limburg",47959,"03VZ","Basisschool De Springplank","Rect. Isidorusstraat","3","5984 NB","KONINGSLUST",1894,"PEEL EN MAAS","Rooms-Katholiek",774651824,"www.bs-despringplank.nl","Rect. Isidorusstraat","3","5984 NB","KONINGSLUST",76,"Venlo",29,"Noord-Limburg",38,"Noord-Limburg",37,"Noord-Limburg",23,"Noord-Limburg",38,"Gewest Limburg-Noord"
"03WD00","https://www.dekingbeek.nl/bestanden/38/Schoolgids-2016-2017.pdf","Limburg",83280,"03WD","Basisschool De Kingbeek","Sint Catharinaplantsoen","4","6127 BC","GREVENBICHT",1883,"SITTARD-GELEEN","Samenwerking PC, RK",464857261,"www.dekingbeek.nl","Sint Catharinaplantsoen","4","6127 BC","GREVENBICHT",78,"Sittard",32,"Westelijke Mijnstreek",40,"Westelijke Mijnstreek",39,"Zuid-Limburg",25,"Zuid-Limburg",39,"Gewest Zuid-Limburg"
"03WE00","http://www.bsfranciscusbunde.nl/wp-content/uploads/2017/08/17-06-15-Schoolgids-2017-2018-definitief.pdf","Limburg",41506,"03WE","Basisschool Franciscus","Schoollaan","2","6241 BM","BUNDE",938,"MEERSSEN","Rooms-Katholiek",433641508,"www.bsfranciscusbunde.nl","Schoollaan","2","6241 BM","BUNDE",80,"Maastricht",34,"Maastricht Mergelland",42,"Maastricht en Mergelland",39,"Zuid-Limburg",25,"Zuid-Limburg",39,"Gewest Zuid-Limburg"
"03WF00",NA,"Noord-Brabant",40278,"03WF","Rooms Katholieke Basisschool De Achthoek","Houtse Heuvel","3","4911 AT","DEN HOUT NB",826,"OOSTERHOUT","Rooms-Katholiek",162455472,"www.de-achthoek.nl","Houtse Heuvel","3","4911 AT","DEN HOUT NB",66,"Breda",25,"West-Brabant",34,"West-Brabant",33,"West-Noord-Brabant",20,"West-Noord-Brabant",34,"West-Brabant"
"03WG00","http://www.basisschooldewegwijzer.nl/Schoolgids17-18.pdf","Noord-Brabant",40517,"03WG","RK Basisschool De Wegwijzer","Wethouder Bogersstraat","1-A","4664 BA","LEPELSTRAAT",748,"BERGEN OP ZOOM","Rooms-Katholiek",164682314,"www.basisschooldewegwijzer.nl","Wethouder Bogersstraat","1-A","4664 BA","LEPELSTRAAT",64,"Bergen op Zoom",25,"West-Brabant",34,"West-Brabant",33,"West-Noord-Brabant",20,"West-Noord-Brabant",34,"West-Brabant"
"03WK00","http://www.julianaschoolfijnaart.nl/wordpress/wp-content/uploads/2014/01/Schoolgids-Juliana-2017-2018.pdf","Noord-Brabant",41782,"03WK","Protestants Christelijke Basisschool Julianaschool","Prinses Irenestraat","3","4793 CW","FIJNAART",1709,"MOERDIJK","Protestants-Christelijk",168462765,"www.julianaschoolfijnaart.nl","Postbus","74","4793 ZH","FIJNAART",65,"Roosendaal en Nispen",25,"West-Brabant",34,"West-Brabant",33,"West-Noord-Brabant",20,"West-Noord-Brabant",34,"West-Brabant"
"03WM00",NA,"Noord-Brabant",44201,"03WM","Rooms Katholieke Basisschool De Akkerwinde","Averbodelaan","1","5095 AS","HOOGE MIERDE",1667,"REUSEL-DE MIERDEN","Rooms-Katholiek",135091229,"                                                                                ","Averbodelaan","1","5095 AS","HOOGE MIERDE",70,"Eindhoven",28,"Zuidoost-Brabant",37,"Zuidoost-Brabant",36,"Zuidoost-Noord-Brabant",22,"Zuidoost-Noord-Brabant",37,"Zuidoost-Brabant"
"03WN00",NA,"Groningen",41845,"03WN","Christelijke Basisschool De Hoeksteen","Beetslaan","2","9602 AX","HOOGEZAND",18,"HOOGEZAND-SAPPEMEER","Protestants-Christelijk",598326932,"www.cbsdehoeksteenhoogezand.nl","Postbus","171","9600 AD","HOOGEZAND",3,"Hoogezand-Sappemeer",3,"Centraal-Groningen",3,"Centraal en westelijk Groningen",3,"Overig Groningen",1,"Groningen en omstreken",3,"Centraal en Westelijk Groningen"
"03WT00","http://www.kleineakkers.nl/wp-content/uploads/2018/01/KINDCENTRUMGIDS-De-Kleine-Akkers-2017-2018.pdf","Noord-Brabant",40971,"03WT","Jenaplanschool De Kleine Akkers","Burg Philipsenstraat","2","5051 CR","GOIRLE",785,"GOIRLE","Algemeen bijzonder",135342878,"www.kleineakkers.nl","Burg Philipsenstraat","2","5051 CR","GOIRLE",68,"Tilburg",26,"Midden-Brabant",35,"Midden-Brabant",34,"Midden-Noord-Brabant",21,"Tilburg en omstreken",35,"Midden-Brabant"
"03WU00","http://www.cbsdewegwijzer.com/Portals/0/School/Schoolgids%20CBS%20De%20Wegwijzer%202017-2018.pdf","Drenthe",41486,"03WU","Basisschool De Wegwijzer","Harm Tiesingstraat","74","9571 AZ","2E EXLOERMOND",1681,"BORGER-ODOORN","Protestants-Christelijk",599671206,"www.cbsdewegwijzer.com","Harm Tiesingstraat","74","9571 AZ","2E EXLOERMOND",12,"Emmen",5,"Zuid- en Midden-Drenthe",8,"Zuidoost-Drenthe",8,"Zuidoost-Drenthe",4,"Assen-Hoogeveen-Emmen",8,"Zuid-Oost Drenthe"
"03WX00","http://www.hetpalet.nl/bestanden/453993/schoolgids_1718.pdf","Noord-Brabant",44201,"03WX","Basisschool Het Palet","Bernhardstraat","4","5527 AZ","HAPERT",1728,"BLADEL","Rooms-Katholiek",497360384,"www.hetpalet.nl","Bernhardstraat","4","5527 AZ","HAPERT",70,"Eindhoven",28,"Zuidoost-Brabant",37,"Zuidoost-Brabant",36,"Zuidoost-Noord-Brabant",22,"Zuidoost-Noord-Brabant",37,"Zuidoost-Brabant"
"03WY00",NA,"Flevoland",49844,"03WY","Dr Maarten Luther","Lange Dam","27","8321 XP","URK",184,"URK","Reformatorisch",527682751,"                                                                                ","Postbus","229","8320 AE","URK",17,"Noordoostpolder",15,"Flevoland",18,"Flevoland",40,"Flevoland",5,"Zwolle-Meppel en omstreken",18,"Flevoland"
"03XB00","https://www.passendonderwijs.nl/wp-content/uploads/2013/08/Informatiegids-Passend-Onderwijs-2014.pdf","Gelderland",41530,"03XB","Basisschool Sam Sam","De Honsvoet","4","6678 BT","OOSTERHOUT GLD",1734,"OVERBETUWE","Rooms-Katholiek",481481448,"www.samsamoosterhout.nl","De Honsvoet","4","6678 BT","OOSTERHOUT GLD",26,"Arnhem",11,"IJssel en Rijn",14,"Arnhem/Nijmegen",15,"Arnhem/Nijmegen",9,"Arnhem en omstreken",14,"Arnhem/Nijmegen"
"03XC00","http://www.de-wegwijzer.nl/upload/files/schoolgids-2016-2-17.pdf","Friesland",41282,"03XC","Protestants Christelijke Basisschool De Wegwijzer","Paulus Potterstraat","13-B","8471 VM","WOLVEGA",98,"WESTSTELLINGWERF","Protestants-Christelijk",561614688,"www.de-wegwijzer.nl","Postbus","104","8470 AC","WOLVEGA",8,"Heerenveen",4,"Fryslân",6,"Friesland-Oost",6,"Zuidoost-Friesland",3,"Friesland",6,"Friesland-Oost ('de Friese Wouden')"
"03XI00","https://www.deopdracht.nl/wordpress2/wp-content/uploads/2015/12/Schoolgids-CBS-De-Opdracht-Algemeen-1.pdf","Friesland",50104,"03XI","Christelijke Basisschool De Opdracht","Foareker","21-23","9247 AA","URETERP",86,"OPSTERLAND","Protestants-Christelijk",512301771,"www.deopdracht.nl","Foareker","21","9247 AA","URETERP",7,"Smallingerland",4,"Fryslân",6,"Friesland-Oost",6,"Zuidoost-Friesland",3,"Friesland",6,"Friesland-Oost ('de Friese Wouden')"
"03XJ00",NA,"Limburg",41018,"03XJ","Rooms Katholieke Basisschool Groeneveld","Wethouder Receveurlaan","5","5913 SR","VENLO",983,"VENLO","Rooms-Katholiek",263238811,"www.groeneveld.fortior.nl","Wethouder Receveurlaan","5","5913 SR","VENLO",76,"Venlo",29,"Noord-Limburg",38,"Noord-Limburg",37,"Noord-Limburg",23,"Noord-Limburg",38,"Gewest Limburg-Noord"
"03XN00","https://www.dekwir.nl/bestanden/463624/Schoolgids-de-Kwir-2017-2018-def.pdf","Limburg",23961,"03XN","Basisschool De Kwir","Kloosterpad","14","6086 AK","NEER",1640,"LEUDAL","Rooms-Katholiek",475591414,"www.dekwir.nl","Kloosterpad","14","6086 AK","NEER",77,"Roermond",31,"Roermond",39,"Midden-Limburg",38,"Midden-Limburg",24,"Roermond en omstreken",38,"Gewest Limburg-Noord"
"03XO00","https://titusbrandsma.kerobei.nl/content/TitusBrandsma/docs/schoolgids_2015-2019.pdf","Limburg",75597,"03XO","Titus Brandsmabasisschool","1e Maasveldstraat","2","5921 JM","VENLO",983,"VENLO","Rooms-Katholiek",773240097,"www.titusbrandsma.kerobei.nl","1e Maasveldstraat","2","5921 JM","VENLO",76,"Venlo",29,"Noord-Limburg",38,"Noord-Limburg",37,"Noord-Limburg",23,"Noord-Limburg",38,"Gewest Limburg-Noord"
"03XP00","http://www.merijntje.nl/docs/stukken/Bovenschoolse schoolgids 2017-2018.pdf","Noord-Brabant",40517,"03XP","RK Basisschool Merijntje","Kloosterstraat","4","4681 AT","NIEUW-VOSSEMEER",851,"STEENBERGEN","Rooms-Katholiek",167502694,"www.merijntje.nl","Kloosterstraat","4","4681 AT","NIEUW-VOSSEMEER",65,"Roosendaal en Nispen",25,"West-Brabant",34,"West-Brabant",33,"West-Noord-Brabant",20,"West-Noord-Brabant",34,"West-Brabant"
"03XQ00",NA,"Noord-Brabant",41020,"03XQ","Basisschool Sint Albertus","Dorpsstraat","44","5471 NB","LOOSBROEK",1721,"BERNHEZE","Rooms-Katholiek",413229645,"                                                                                ","Dorpsstraat","44","5471 NB","LOOSBROEK",72,"Oss",27,"Noordoost-Brabant",36,"Noordoost-Brabant",35,"Noordoost-Noord-Brabant",12,"Noord-Noord-Brabant",36,"Noord-Oost-Brabant"
"03XT00",NA,"Limburg",23961,"03XT","Basisschool de Wegwijzer","Marculphusstraat","2","6013 RJ","HUNSEL",1640,"LEUDAL","Rooms-Katholiek",475565590,"                                                                                ","Marculphusstraat","2","6013 RJ","HUNSEL",77,"Roermond",31,"Roermond",39,"Midden-Limburg",38,"Midden-Limburg",24,"Roermond en omstreken",38,"Gewest Limburg-Noord"
"03XV00","http://www.bspanorama.nl/Fluvius_C01/ShowDocument.asp?OriginCode=H&OriginComID=108&OriginModID=8277&OriginItemID=0&CustID=610&ComID=108&DocID=14&Download=true&Ext=.pdf","Gelderland",40972,"03XV","Basisschool t Panorama","Mesdaglaan","70","6813 GS","ARNHEM",202,"ARNHEM","Rooms-Katholiek",264432926,"www.bspanorama.nl","Mesdaglaan","70","6813 GS","ARNHEM",26,"Arnhem",11,"IJssel en Rijn",14,"Arnhem/Nijmegen",15,"Arnhem/Nijmegen",9,"Arnhem en omstreken",14,"Arnhem/Nijmegen"
"03XW00",NA,"Gelderland",40972,"03XW","Jozef Sarto Arnhem","Beeldhouwerstraat","27-A 29","6824 EG","ARNHEM",202,"ARNHEM","Samenwerking PC, RK",263614594,"www.jozefsartoschool.nl","Beeldhouwerstraat","27-A 29","6824 EG","ARNHEM",26,"Arnhem",11,"IJssel en Rijn",14,"Arnhem/Nijmegen",15,"Arnhem/Nijmegen",9,"Arnhem en omstreken",14,"Arnhem/Nijmegen"
"03XX00",NA,"Noord-Brabant",71749,"03XX","Basisschool De LenS","Langenboomseweg","1-B","5451 JH","MILL",815,"MILL EN SINT HUBERT","Rooms-Katholiek",485470150,"www.basisschooldelens.nl","Langenboomseweg","1-B","5451 JH","MILL",73,"Boxmeer",27,"Noordoost-Brabant",36,"Noordoost-Brabant",35,"Noordoost-Noord-Brabant",11,"Oostelijk Maas-Waalgebied",36,"Noord-Oost-Brabant"
"03XY00","https://tabijnvisserthooft-live-0ae7ba4e12bc4c-ad9fb56.aldryn-media.com/files/2170511-Schoolgids%20Visser%20't%20Hooft.pdf","Noord-Holland",40712,"03XY","Basisschool Visser t Hooft","Kemphaan","17","1902 KA","CASTRICUM",383,"CASTRICUM","Algemeen bijzonder",251655906,"http://visserthooft.tabijn.nl/","Postbus","395","1900 AJ","CASTRICUM",42,"Velsen",19,"Noord-Holland-Noord",24,"Noord-Kennemerland",20,"IJmond",15,"Zuid-Noord-Holland",24,"Noord-Kennemerland"
"03YB00",NA,"Noord-Brabant",40941,"03YB","De Wingerd","Heuvelaar","10","5085 GD","ESBEEK",798,"HILVARENBEEK","Rooms-Katholiek",135169371,"                                                                                ","Postbus","88","5080 AB","HILVARENBEEK",68,"Tilburg",26,"Midden-Brabant",35,"Midden-Brabant",34,"Midden-Noord-Brabant",21,"Tilburg en omstreken",35,"Midden-Brabant"
"03YC00",NA,"Limburg",37663,"03YC","Rooms Katholieke Basisschool 't Diekske","Langstraat","6-A","5851 BE","AFFERDEN L",893,"BERGEN LB","Rooms-Katholiek",485531411,"www.diekske.nl","Langstraat","6-A","5851 BE","AFFERDEN L",76,"Venlo",29,"Noord-Limburg",38,"Noord-Limburg",37,"Noord-Limburg",23,"Noord-Limburg",38,"Gewest Limburg-Noord"
"03YG00",NA,"Gelderland",52340,"03YG","Sint Franciscus-School","Babborgaplein","3-B","6909 DW","BABBERICH",299,"ZEVENAAR","Rooms-Katholiek",316247226,"www.sintfranciscus.nl","Babborgaplein","3-B","6909 DW","BABBERICH",26,"Arnhem",11,"IJssel en Rijn",14,"Arnhem/Nijmegen",15,"Arnhem/Nijmegen",9,"Arnhem en omstreken",14,"Arnhem/Nijmegen"
"03YI00",NA,"Limburg",41692,"03YI","Basisschool Sint Martinus","Schoolstraat","1","6063 BW","VLODROP",1669,"ROERDALEN","Rooms-Katholiek",475407052,"www.stmartinusschool.nl","Schoolstraat","1","6063 BW","VLODROP",77,"Roermond",31,"Roermond",39,"Midden-Limburg",38,"Midden-Limburg",24,"Roermond en omstreken",38,"Gewest Limburg-Noord"
"03YJ00","http://mobilecms.blob.core.windows.net/appfiles/app_1325/File/Schoolgids_2017-18_2.pdf","Gelderland",53406,"03YJ","Basisschool Sint Willibrordus","Hoofdstraat","152","6674 BE","HERVELD",1734,"OVERBETUWE","Rooms-Katholiek",488452976,"www.willibrordusherveld.nl","Hoofdstraat","152","6674 BE","HERVELD",26,"Arnhem",11,"IJssel en Rijn",14,"Arnhem/Nijmegen",15,"Arnhem/Nijmegen",9,"Arnhem en omstreken",14,"Arnhem/Nijmegen"
"03YL00","https://www.triangel-leende.nl/-uploads/files/insite/schoolgids-triangel-2017-2018.pdf","Noord-Brabant",31384,"03YL","Rooms Katholieke Basisschool De Triangel","Breedvennen","3","5595 DE","LEENDE",1658,"HEEZE-LEENDE","Rooms-Katholiek",402065426,"www.triangel-leende.nl","Breedvennen","3","5595 DE","LEENDE",70,"Eindhoven",28,"Zuidoost-Brabant",37,"Zuidoost-Brabant",36,"Zuidoost-Noord-Brabant",22,"Zuidoost-Noord-Brabant",37,"Zuidoost-Brabant"
"03YP00",NA,"Limburg",50819,"03YP","Basisschool Sint Laurentius","Bertiliastraat","1","6005 PA","WEERT",988,"WEERT","Rooms-Katholiek",495551494,"www.bs-stlaurentius.nl","Bertiliastraat","1","6005 PA","WEERT",75,"Weert",30,"Weert",39,"Midden-Limburg",38,"Midden-Limburg",22,"Zuidoost-Noord-Brabant",38,"Gewest Limburg-Noord"
"03YW00","https://www.onderdelinde.nl/schoolgids.pdf","Limburg",47920,"03YW","Basisschool Onder De Linde","Past. Debijestraat","8","5963 AG","HEGELSOM",1507,"HORST AAN DE MAAS","Rooms-Katholiek",773984777,"www.onderdelinde.nl","Past. Debijestraat","8","5963 AG","HEGELSOM",76,"Venlo",29,"Noord-Limburg",38,"Noord-Limburg",37,"Noord-Limburg",23,"Noord-Limburg",38,"Gewest Limburg-Noord"
"03ZH00","http://www.ebenhaezerdrachten.nl/./Schoolgids 2017-2018 definitief.pdf","Friesland",60322,"03ZH","Eben Haezer","Engwerd","1","9202 AN","DRACHTEN",90,"SMALLINGERLAND","Reformatorisch",512511333,"www.ebenhaezerdrachten.nl","Engwerd","1","9202 AN","DRACHTEN",7,"Smallingerland",4,"Fryslân",6,"Friesland-Oost",6,"Zuidoost-Friesland",3,"Friesland",6,"Friesland-Oost ('de Friese Wouden')"
"03ZJ00",NA,"Noord-Brabant",60790,"03ZJ","Gereformeerde Basisschool Immanuel","Van Lumeystraat","1","5684 CH","BEST",753,"BEST","Gereformeerd vrijgemaakt",499373448,"www.immanuel.nl","Postbus","163","5680 AD","BEST",70,"Eindhoven",28,"Zuidoost-Brabant",37,"Zuidoost-Brabant",36,"Zuidoost-Noord-Brabant",22,"Zuidoost-Noord-Brabant",37,"Zuidoost-Brabant"
"03ZV00","https://www.basisschoolfutura.nl/wp-content/uploads/sites/51/2017/09/schoolgids-Basisschool-Futura-O4NT-NoorderBasis.pdf","Friesland",42607,"03ZV","Gereformeerde basisschool Futura","Beugel","201","8447 AT","HEERENVEEN",74,"HEERENVEEN","Gereformeerd vrijgemaakt",513628472,"www.basisschoolfutura.nl","Beugel","201","8447 AT","HEERENVEEN",8,"Heerenveen",4,"Fryslân",6,"Friesland-Oost",6,"Zuidoost-Friesland",3,"Friesland",6,"Friesland-Oost ('de Friese Wouden')"
"04AA00","http://www.piekschool.eu/wp-content/uploads/2015/03/schoolgids-2017-2018-.pdf","Gelderland",62818,"04AA","H J Piekschool","Roghorst","94","6708 KP","WAGENINGEN",289,"WAGENINGEN","Algemeen bijzonder",317415046,"www.piekschool.nl","Postbus","296","6700 AG","WAGENINGEN",29,"Ede",10,"De Vallei",16,"Eem en Vallei",13,"Veluwe",9,"Arnhem en omstreken",16,"Eem en Vallei"
"04AW00","http://www.nijegaast.nl/deklimbeam/wp-content/uploads/Schoolgids-De-Klimbeam-2017-2018-PDF.pdf","Friesland",41385,"04AW","Neutraal Bijzondere Basisschool De Barte","Nicolaaswei","10","8584 VW","HEMELUM",1900,"SUDWEST-FRYSLAN","Algemeen bijzonder",514581681,"www.nijegaast.nl/barte","Dubbelstraat","8-A","8561 BC","BALK",9,"Sneek",4,"Fryslân",5,"Zuidwest-Friesland",5,"Zuidwest-Friesland",3,"Friesland",5,"Zuid-West Friesland"
"04AZ00","http://www.johannesschooltiel.nl/site/media/Schoolgids Johannesschool 14-15 sept.pdf","Gelderland",41246,"04AZ","Johannesschool Vrije School Tiel","Priorlaan","3","4003 AP","TIEL",281,"TIEL","Antroposofisch",344615313,"www.johannesschooltiel.nl","Priorlaan","3","4003 AP","TIEL",31,"Tiel",14,"Rivierenland",15,"Rivierenland",16,"Zuidwest-Gelderland",11,"Oostelijk Maas-Waalgebied",15,"Rivierenland"
"04BD00",NA,"Noord-Holland",55238,"04BD","Heilige Henricus-School","Butterhoek","7","1777 GN","HIPPOLYTUSHOEF",1911,"HOLLANDS KROON","Rooms-Katholiek",227592776,"www.hhenricus.nl","Postbus","95","1777 ZH","HIPPOLYTUSHOEF",37,"Den Helder",19,"Noord-Holland-Noord",23,"Kop van Noord-Holland",18,"Kop van Noord-Holland",14,"Noord-Noord-Holland",23,"Kop van Noord-Holland"
"04BT00","http://www.vrijeschoolroermond.nl/site/downloads/schoolgids/Schoolgids 2017-2018.pdf","Limburg",41246,"04BT","Vrijeschool Christophorus","Schouwberg","27","6041 AG","ROERMOND",957,"ROERMOND","Antroposofisch",475333160,"www.vrijeschoolroermond.nl","Schouwberg","27","6041 AG","ROERMOND",77,"Roermond",31,"Roermond",39,"Midden-Limburg",38,"Midden-Limburg",24,"Roermond en omstreken",38,"Gewest Limburg-Noord"
"04CN00",NA,"Noord-Brabant",41825,"04CN","Ds Gisbertus Voetiusschool","Albert Schweitzerlaan","6","4281 LT","ANDEL",874,"WOUDRICHEM","Reformatorisch",183442780,"                                                                                ","Albert Schweitzerlaan","6","4281 LT","ANDEL",52,"Gorinchem",25,"West-Brabant",34,"West-Brabant",34,"Midden-Noord-Brabant",18,"Dordrecht-Gorinchem",34,"West-Brabant"
"04CT00",NA,"Gelderland",40945,"04CT","Gereformeerde Basisschool De Bongerd","Bongerdspad","2","7201 NV","ZUTPHEN",301,"ZUTPHEN","Gereformeerd vrijgemaakt",575515457,"                                                                                ","Bongerdspad","2","7201 NV","ZUTPHEN",23,"Zutphen",9,"Stedendriehoek",11,"Stedendriehoek",14,"Achterhoek",7,"Apeldoorn en midden-IJsselgebied",11,"Stedendriehoek"
"04DE00",NA,"Groningen",42607,"04DE","Johannes Bogerman","Wilgenstraat","47","9861 EE","GROOTEGAST",15,"GROOTEGAST","Gereformeerd vrijgemaakt",594613657,"                                                                                ","Postbus","39","9860 AA","GROOTEGAST",1,"Groningen",3,"Centraal-Groningen",3,"Centraal en westelijk Groningen",3,"Overig Groningen",1,"Groningen en omstreken",3,"Centraal en Westelijk Groningen"
"04DE01",NA,"Groningen",42607,"04DE","Johannes Bogerman","Rode Kruislaan","78","9728 CX","GRONINGEN",14,"GRONINGEN","Gereformeerd vrijgemaakt",505250448,"                                                                                ","Postbus","8115","9702 KC","GRONINGEN",1,"Groningen",3,"Centraal-Groningen",3,"Centraal en westelijk Groningen",3,"Overig Groningen",1,"Groningen en omstreken",3,"Centraal en Westelijk Groningen"
"04DG00","http://www.definne-aldeboarn.nl/pam/custom/schoolgids-cbs-de-finne-2017-2018.pdf","Friesland",41419,"04DG","Christelijke Basisschool De Finne","Jancko Douwamastrjitte","45","8495 JA","ALDEBOARN",74,"HEERENVEEN","Protestants-Christelijk",566631302,"www.definne-aldeboarn.nl","Jancko Douwamastrjitte","45","8495 JA","ALDEBOARN",8,"Heerenveen",4,"Fryslân",6,"Friesland-Oost",6,"Zuidoost-Friesland",3,"Friesland",6,"Friesland-Oost ('de Friese Wouden')"
"04DT00",NA,"Noord-Holland",40945,"04DT","Gereformeerde Basisschool De Wegwijzer","Sumatralaan","40","1217 GS","HILVERSUM",402,"HILVERSUM","Gereformeerd vrijgemaakt",356248295,"www.haal.nl","Sumatralaan","40","1217 GS","HILVERSUM",45,"Hilversum",16,"Gooi en Vechtstreek",20,"Gooi en Vechtstreek",24,"Het Gooi en Vechtstreek",15,"Zuid-Noord-Holland",20,"Gooi en Vechtstreek"
"04DZ00","https://www.antoniusabt.nl/digidact_C02/UploadData/images/45/3448/0/AntoniusAbtGids_2017-2018.pdf","Noord-Brabant",42723,"04DZ","Jenaplanschool Antonius Abt","Oberon","17","5221 LT","'S-HERTOGENBOSCH",796,"S HERTOGENBOSCH","Rooms-Katholiek",738511200,"www.antoniusabt.nl","Oberon","17","5221 LT","'S-HERTOGENBOSCH",69,"'s-Hertogenbosch",27,"Noordoost-Brabant",36,"Noordoost-Brabant",35,"Noordoost-Noord-Brabant",12,"Noord-Noord-Brabant",36,"Noord-Oost-Brabant"
"04EC00","http://www.rudolfsteinereducare.nl/files/Basisschool/Schoolgids%202017-2018.pdf","Limburg",41246,"04EC","Rudolf Steiner Educare","Zustersstraat","25","5914 XX","VENLO",983,"VENLO","Antroposofisch",773543587,"www.rudolfsteinereducare.nl","Zustersstraat","25","5914 XX","VENLO",76,"Venlo",29,"Noord-Limburg",38,"Noord-Limburg",37,"Noord-Limburg",23,"Noord-Limburg",38,"Gewest Limburg-Noord"
"04FE00","https://www.ikc-deverrekijker.nl/bestanden/458576/2017-2018-Schoolgids-De-Verrekijker.pdf","Limburg",23961,"04FE","Basisschool De Verrekijker","Scheijvenstraat","12","6011 RL","ELL",1640,"LEUDAL","Rooms-Katholiek",495551366,"www.vkijker.nl","Scheijvenstraat","12","6011 RL","ELL",77,"Roermond",31,"Roermond",39,"Midden-Limburg",38,"Midden-Limburg",24,"Roermond en omstreken",38,"Gewest Limburg-Noord"
