"VESTIGINGSNUMMER","url","PROVINCIE","BEVOEGD.GEZAG.NUMMER","BRIN.NUMMER","VESTIGINGSNAAM","STRAATNAAM","HUISNUMMER.TOEVOEGING","POSTCODE","PLAATSNAAM","GEMEENTENUMMER","GEMEENTENAAM","DENOMINATIE","TELEFOONNUMMER","INTERNETADRES","STRAATNAAM.CORRESPONDENTIEADRES","HUISNUMMER.TOEVOEGING.CORRESPONDENTIEADRES","POSTCODE.CORRESPONDENTIEADRES","PLAATSNAAM.CORRESPONDENTIEADRES","NODAAL.GEBIED.CODE","NODAAL.GEBIED.NAAM","RPA.GEBIED.CODE","RPA.GEBIED.NAAM","WGR.GEBIED.CODE","WGR.GEBIED.NAAM","COROPGEBIED.CODE","COROPGEBIED.NAAM","ONDERWIJSGEBIED.CODE","ONDERWIJSGEBIED.NAAM","RMC.REGIO.CODE","RMC.REGIO.NAAM"
"23ZM00","https://3hoek.nl/file/541/schoolgids2016-2020.pdf","Noord-Brabant",41860,"23ZM","Openbare Basisschool de Driehoek","Schoolstraat","1-B","5735 CG","AARLE-RIXTEL",1659,"LAARBEEK","Openbaar",492383003,"www.3hoek.nl","Schoolstraat","1-B","5735 CG","AARLE-RIXTEL",74,"Helmond",28,"Zuidoost-Brabant",37,"Zuidoost-Brabant",36,"Zuidoost-Noord-Brabant",22,"Zuidoost-Noord-Brabant",37,"Zuidoost-Brabant"
"23ZU00","http://zonnewiel.nl/wp-content/uploads/2016/09/t_Zonnewiel_schoolgids_2016-2018_web.pdf","Flevoland",40950,"23ZU","Rooms Katholieke Basisschool 't Zonnewiel","Bongerdstraat","4","1326 AB","ALMERE",34,"ALMERE","Rooms-Katholiek",365376558,"www.zonnewiel.nl","Bongerdstraat","4","1326 AB","ALMERE",28,"Harderwijk",15,"Flevoland",18,"Flevoland",40,"Flevoland",10,"Harderwijk-Amersfoort",18,"Flevoland"
"23ZV00",NA,"Flevoland",40114,"23ZV","Basisschool de Olyfboom","Bongerdstraat","2","1326 AB","ALMERE",34,"ALMERE","Protestants-Christelijk",365376557,"www.de-olijfboom.nl","Bongerdstraat","2","1326 AB","ALMERE",28,"Harderwijk",15,"Flevoland",18,"Flevoland",40,"Flevoland",10,"Harderwijk-Amersfoort",18,"Flevoland"
"23ZW00","http://buitenburcht.nl/wp-content/uploads/2017/06/schoolgids-17-18.pdf","Flevoland",40114,"23ZW","Protestants Christelijke Basisschool de Buitenburcht","Zonnebloemweg","66","1338 TV","ALMERE",34,"ALMERE","Protestants-Christelijk",365329271,"www.buitenburcht.nl","Zonnebloemweg","66","1338 TV","ALMERE",28,"Harderwijk",15,"Flevoland",18,"Flevoland",40,"Flevoland",10,"Harderwijk-Amersfoort",18,"Flevoland"
"23ZX00","http://polygoon.asg-almere.nl/sites/001.v2-polygoon/files/images/schoolgids_2016-2017_0.pdf","Flevoland",41676,"23ZX","Openbare Basisschool Polygoon","Hollywoodlaan","109","1325 KA","ALMERE",34,"ALMERE","Openbaar",324099438,"www.polygoon.asg-almere.nl","Hollywoodlaan","109","1325 KA","ALMERE",28,"Harderwijk",15,"Flevoland",18,"Flevoland",40,"Flevoland",10,"Harderwijk-Amersfoort",18,"Flevoland"
"23ZY00",NA,"Flevoland",41676,"23ZY","Openbare Basisschool Syncope","Kornetstraat","19","1312 XE","ALMERE",34,"ALMERE","Openbaar",365361277,"www.obssyncope.nl","Kornetstraat","19","1312 XE","ALMERE",28,"Harderwijk",15,"Flevoland",18,"Flevoland",40,"Flevoland",10,"Harderwijk-Amersfoort",18,"Flevoland"
"23ZZ00",NA,"Gelderland",40862,"23ZZ","Basisschool met de Bijbel de Schuilplaats","Verzetslaan","17","3882 HH","PUTTEN",273,"PUTTEN","Protestants-Christelijk",341353031,"www.schuilplaats.putten.kennisnet.nl","Verzetslaan","17","3882 HH","PUTTEN",28,"Harderwijk",8,"Noordwest-Veluwe",17,"Noordwest-Veluwe",13,"Veluwe",10,"Harderwijk-Amersfoort",17,"Noordwest-Veluwe"
"24AA00","http://www.klimopnederweert.nl/bestanden/453390/SCHOOLGIDS-OBS-de-Klimop-2017-2018--def2.pdf","Limburg",41662,"24AA","Openbare Basisschool de Klimop","Dokter van de Wouwstraat","39","6031 HC","NEDERWEERT",946,"NEDERWEERT","Openbaar",495631900,"www.klimopnederweert.nl","Dokter van de Wouwstraat","39","6031 HC","NEDERWEERT",75,"Weert",30,"Weert",39,"Midden-Limburg",38,"Midden-Limburg",22,"Zuidoost-Noord-Brabant",38,"Gewest Limburg-Noord"
"24AB00","http://www.obshetklokhuis.nl/bestanden/463332/Correctie-schoolgemiddelde-IEP-eindtoets-2017.pdf","Noord-Brabant",41860,"24AB","Openbare Basisschool H Klokhuis","Wijnkelderweg","3-A","5741 ND","BEEK EN DONK",1659,"LAARBEEK","Openbaar",492465527,"www.obshetklokhuis.nl","Wijnkelderweg","3-A","5741 ND","BEEK EN DONK",74,"Helmond",28,"Zuidoost-Brabant",37,"Zuidoost-Brabant",36,"Zuidoost-Noord-Brabant",22,"Zuidoost-Noord-Brabant",37,"Zuidoost-Brabant"
"24AC00",NA,"Noord-Brabant",40378,"24AC","De Boschuil","Kiplinglaan","1","5629 MK","EINDHOVEN",772,"EINDHOVEN","Algemeen bijzonder",402428917,"www.deboschuil.nl","Kiplinglaan","1","5629 MK","EINDHOVEN",70,"Eindhoven",28,"Zuidoost-Brabant",37,"Zuidoost-Brabant",36,"Zuidoost-Noord-Brabant",22,"Zuidoost-Noord-Brabant",37,"Zuidoost-Brabant"
