"VESTIGINGSNUMMER","url"
"03KX00","http://www.fonteintexel.nl/images/fontein_schoolgids2017-2018.pdf"
"03LA00","http://www.sint-petrusschool.nl/images/Schoolgids_2015-2016/Schoolgids2016-2017-web2.pdf"
"03LC00",NA
"03LD00",NA
"03LE00","http://www.steenenbrug.nl/bestanden/466713/schoolgids-17-18.pdf"
"03LK00",NA
"03LN00",NA
"03LQ00",NA
"03LQ01",NA
"03LR00","http://www.remmeltbooy.pentaprimair.nl/qsites/files/000001904/schoolgids/Schoolgids 2016 2017.pdf"
"03LS00","http://www.klimopschoolrijssen.nl/pages/wp-content/uploads/2017/08/schoolgids-2017-2018.pdf"
"03LT00",NA
"03LX00","https://www.driekoningenschool.nl/syndeo_data/media/Documents/Schoolgids_2016-2017.pdf"
"03LY00","http://www.deleuksteschoolvannederland.nl/images/schoolgids%202015-2019%20definitief%20-%20automatisch%20inhoudsopgave.pdf"
"03MA00",NA
"03MF00",NA
"03MH00",NA
"03MI00","https://mlkingschoolmaartensdijk-live-9b01117d1-d04a21f.aldryn-media.io/files/Schoolgids%202017%20-%202018.pdf"
"03MJ00","https://www.eben-haezerschool.nl/wp-content/uploads/2013/01/Schoolgids-2017-2018-internetversie.pdf"
"03MK00",NA
"03ML00",NA
"03MO00","http://stemarie.yourmonitor.eu/documents/stemarie-kalender-schoolgids2017-2018-samen-lr.pdf"
"03MQ00","http://www.bs-mariagoretti.nl/bestanden/456640/Schoolgids-bsMG-2017-2019-v-4.0.pdf"
"03MR00","http://www.weilust.nl/wp-content/uploads/sites/10/2014/10/schoolgids-2017-1018.pdf"
"03MT00",NA
"03MW00","http://www.basisschool-hetpalet.nl/wp-content/uploads/2015/09/Schoolgids-2017_18-HR-1.pdf"
"03MX00",NA
"03NB00","https://www.rozenhorst.nl/de-rozenhorst/../../media/files/schoolgids-2017-2018.pdf"
"03NC00","https://www.bsscharn.nl/images/2017/Basisschool-Scharn-Schoolgids-2016-2017.pdf"
"03NE00",NA
"03NF00",NA
"03NH00",NA
"03NI00","https://www.detweemaster.net/syndeo_data/media/schoolgids/Schoolgids_2015-2016.pdf"
"03NJ00","https://www.aloysiusoverveen.nl/syndeo_data/media/initial/Schoolgids_2015-2016.pdf"
"03NN00","https://www.schoolpraat-app.nl/phpimg/51e33ced0cd47eca59b/schoolgids-bs-de-driesprong-2017-2018.pdf"
"03NO00","http://wegwijzer-achtmaal.nl/media/1140/schoolgids-2017-2018-v2.pdf"
"03NP00",NA
"03NR00",NA
"03NU00","https://www.talentencampusvenlo.nl/images/nieuws_items/schoolgids BaO 2017-2018.pdf"
"03NW00","http://www.kbszandberg.nl/wp-content/uploads/sites/19/2015/03/Schoolgids-KBS-De-Zandberg-2017-2018-geplaatst-op-04072017.pdf"
"03NX00",NA
"03NY00","http://www.antoniusrkbs.nl/bestanden/462405/schoolgids-antonius-2017-2018.pdf"
"03NZ00","http://dekrullevaar.eu/wp-content/uploads/Schoolgids-de-Krullevaar-2017-20183.pdf"
"03OA00","http://pdhilversum.nl/docs/Schoolgids-2017-2018.pdf"
"03OB00",NA
"03OC00","http://www.dewelp.nl/wp-content/uploads/2015/04/Schoolgids-2017-2018.pdf"
"03OJ00","http://www.groenewegenschool.nl/bestanden/460642/BINNENWERK-Schoolgids-2017-2018.pdf"
"03OK00","https://www.dezuidstroom.fortior.nl/bestanden/454021/Schoolgids-2017-2018-De-Zuidstroom-versie-juli-2017-%281%29.pdf"
"03OM00",NA
"03ON00","https://www.majellaschool.nl/upload/197-Schoolgids_algemeen_deel_2017-2018_(GERAHOO).pdf"
"03OP00","https://www.oda-bs.nl/images/schoolgids-2016-2017-def.pdf"
"03OR00",NA
"03OT00",NA
"03OU00","http://www.dehoeveschool.nl/wp-content/uploads/2014/03/schoolgids-de-Hoeve_17-18_def_zonder-ll-lijsten.pdf"
"03PC00","https://www.teresiaschool.nl/images/documenten/Schoolgids-2017-2018-versie-juli-2017.docx.pdf"
"03PD00","http://www.bsdeoctopus.nl/downloads/schoolgids 2017-2018.pdf"
"03PF00","http://www.bsbocholtz.nl/upload/documents/schoolgids2017â€2018def.versie.pdf"
"03PH00",NA
"03PJ00","https://www.stjoan.nl/-uploads/files/insite/schoolgids-st-joan-2017-2018-versie-20171025.pdf"
"03PK00","http://www.sintagnes.nl/uploads/documenten/schoolgids 17-18.pdf"
"03PL00",NA
"03PM00",NA
"03PN00",NA
"03PP00",NA
"03PQ00",NA
"03PS00","https://montessori-landsmeer.espritscholen.nl/fileadmin/montessori-landsmeer/documenten/Schoolgids/Schoolgids_17-18_def__1_.pdf"
"03PV00","http://www.tkempke.nl/bestanden/455596/schoolgids-BS-t-Kempke-2017-2018.pdf"
"03PW00",NA
"03PX00",NA
"03PY00",NA
"03QA00",NA
"03QB00",NA
"03QC00","https://www.sintanthonius.nl/wp-content/uploads/2017/10/Schoolgids-2017-2018.pdf"
"03QD00","https://www.petrusenpaulus-bs.nl/images/schoolgids/schoolgids_Petrus_en_Paulus_2016_2017.pdf"
"03QE00","https://www.st-fusieschool.nl/schoolgids.pdf"
"03QF00",NA
"03QI00",NA
"03QJ00",NA
"03QK00","https://www.stliduina.nl/bestanden/453439/2017-2018-Schoolgids-St-Liduina.pdf"
"03QL00",NA
"03QN00",NA
"03QO00","http://www.schrijverkeherpen.nl/wordpress/../uploads/2017/09/Schoolgids-2017-2018-..pdf"
"03QP00",NA
"03QQ00",NA
"03QR00",NA
"03QS00",NA
"03QT00","http://www.bsdeschittering.nl/wordpress/wp-content/uploads/2016/11/Schoolgids-2016-2017.pdf"
"03QW00","http://www.opdreef.nl/bestanden/453325/Schoolgids-Op-Dreef-2017-2018.pdf"
"03QY00","http://www.angelaschoolboxtel.nl/ouders/schoolgids/uploads/pdf/Schoolgids%20-%20schooljaar%202017-2018.pdf"
"03QZ00","http://www.desleye.nl/wp-content/uploads/2016/07/de-sleye-kleine-schoolgids-17-18.pdf"
"03RA00","http://www.horizon-ens.nl/docs/schooldocumenten-2017-2018/Schoolgids%202017%20-%202018.pdf"
"03RC00",NA
"03RD00","http://www.opdehoeksteen.nl/Media/view/20340/Opdehoeksteenschoolgids_20172018webversie.pdf"
"03RE00","http://www.demirt.nl/Media/view/20082/Schoolgids+De+Mirt+20172018+%283%29.pdf"
"03RG00","http://www.bs-bergop.nl/bestanden/455250/Schoolgids-Algemeen-2017-2018-Bergop.pdf"
"03RK00",NA
"03RL00","http://www.biezenkamp.nl/bestanden/440209/De-Biezenkamp-Schoolgids-2015-2019-jan-17-HR.pdf"
"03RN00","https://www.josefschool.nl/syndeo_data/media/1_School/School_Schoolgids/schoolgids_2017-2018.pdf"
"03RO00",NA
"03RO01",NA
"03RP00","https://www.basisschoolantonius.nl/bestanden/454045/Schoolgids-2017-2018-v2.pdf"
"03RS00","http://bsdeviolier.nl/uploads/documents/2_schoolgids_bs_de_violier_2017_2018.pdf"
"03RT00","http://dwsvelddriel.nl/wordpress/wp-content/uploads/2012/03/Schoolgids-2017-2018.pdf"
"03RV00","https://www.bseigenwijs.nl/bestanden/460310/schoolgids-bs-EigenWijs%2717def.pdf"
"03RW00","http://www.tandemnederasselt.nl/bestanden/455362/03-Tandem-2017-2018-web-gids.pdf"
"03RX00","https://www.rkbs-willibrord.nl/upload/418-Schoolgids_informatieve_gedeelte_2017-2018.pdf"
"03RY00","https://www.sintgerardus.nl/upload/197-Schoolgids_algemeen_deel_2017-2018_(GERAEMM).pdf"
"03RZ00",NA
"03SB00",NA
"03SC00",NA
"03SE00",NA
"03SF00",NA
"03SG00",NA
"03SH00","https://www.dewereldwijzer.eu/-uploads/files/insite/schoolgids-de-wereldwijzer-2017-2018.pdf"
"03SJ00","http://www.jozefschoolndb.nl/praktijk/SiteAssets/Paginas/Schoolgids/AT%20Scholen%20Schoolgids%20Jozefschool_v3.pdf"
"03SK00",NA
"03SL00","https://www.bonifatiusschool.nl/upload/428-Schoolgids.pdf"
"03SM00","http://radbodus.bms-onderwijs.nl/content/26/St.Radb_Schoolg_2017-2018 LR.pdf"
"03SN00","https://www.daltonnicolaas.net/bestanden/460179/schoolgids-1718.pdf"
"03SO00","https://spick.kerobei.nl/content/Spick/schoolgids/Schoolgids_Het_Spick_2017-2018.pdf"
"03SR00",NA
"03ST00",NA
"03SV00",NA
"03SW00","http://www.bs-opweg.nl/Documents/d8a952a3-fbcb-4b23-a377-fd533c19b73a/schoolgids%20Op%20Weg%202017-2018%20specifiek%20deel%20%28definitief%29%20%283%29.pdf"
"03SY00","https://www.piusschool.nl/images/schoolgids2017-2018.pdf"
"03TA00","http://www.bernardusschoolkeijenborg.nl/images/Bernardus/school/schoolgids_2017-2018_Bernardus.pdf"
"03TB00","https://cdn1.delangenoord.nl/uploads/Editor/2017-2018-schoolgids.pdf"
"03TC00","http://www.piusxoss.nl/wp-content/uploads/2017/08/Pius-X-schoolgids-2017-2018.pdf"
"03TD00",NA
"03TF00",NA
"03TG00","http://www.roncalli.nl/images/documenten/2017-_2018/Schoolgids_2017-2018_voor_website.pdf"
"03TH00",NA
"03TJ00","http://gbsregenboog.nl/wp-content/uploads/2016/04/SCHOOLGIDS-2017-2018.pdf"
"03TL00","http://www.icb-toermalijn.nl/Algemeen/Documents/schoolgids%20Toermalijn%202017-%202018.pdf"
"03TM00",NA
"03TO00",NA
"03TP00",NA
"03TR00",NA
"03TS00","http://www.gideonschool.nl/images/documenten/Schoolgids_2017-2018.pdf"
"03TT00","https://www.askoscholen.nl/scholen/ABekemaschool/Documents/schoolgids%202017%20-%202018.pdf"
"03TW00",NA
"03TX00","https://www.bssintnicolaas.nl/syndeo_data/media/schoolgids/schoolgids_2017-2018_Nicolaas_definitief_22_juli_2017.pdf"
"03TY00","http://www.bsspaubeek-spaubeek.nl/bestanden/453135/Schoolgids-2017-2018.pdf"
"03TZ00",NA
"03UA00",NA
"03UB00",NA
"03UC00",NA
"03UE00","https://cms.onlinebase.nl/userfiles/c1boogerd/file/schoolgids_2016-2017.pdf"
"03UJ00",NA
"03UL00","http://www.qliqprimair.nl/de-korenaar/wp-content/uploads/sites/7/2015/05/Schoolgids-De-Korenaar-2017-2018-dv.pdf"
"03UM00",NA
"03UN00","http://www.antoniuslievelde.nl/phpimg/665d712b44e7b95d192/bijlage-schoolgids-2017-2018.pdf"
"03UQ00",NA
"03UR00",NA
"03US00",NA
"03UU00",NA
"03UW00",NA
"03UY00","https://www.bsdebrink.nl/schoolgids.pdf"
"03UZ00","http://www.detwister.nu/home-actueel/uploads/media/Schoolgids_de_Twister_2017-2018.pdf"
"03VA00",NA
"03VB00",NA
"03VC00","http://www.bsgerardusmajella.nl/images/schooljaar_17_18/03VC%20Schoolgids%20%201718.pdf"
"03VD00",NA
"03VE00","https://www.ikcdekemp.nl/media/upload/files/IKC%20Gids%201718.pdf"
"03VG00","http://www.bs-gerardus.nl/bestanden/426533/schoolgids-2016-2017.pdf"
"03VH00","https://schalm.kerobei.nl/content/Schalm/team/2017-2018_Schoolgids_voor_website.pdf"
"03VI00",NA
"03VK00","https://www.bsdehommel.nl/bestanden/457733/2017-09-01-schoolgids-.pdf"
"03VL00","http://radboudjirnsum.bms-onderwijs.nl/content/16/20142015 schoolgids 03VL Radboud Jirnsum zonder adressen.pdf"
"03VP00",NA
"03VP01","http://www.de-binnenstad.nl/images/pdf/schoolgids%202017-2018.pdf"
"03VQ00",NA
"03VR00",NA
"03VS00","https://www.st-theresiabloemendaal.nl/syndeo_data/media/schoolgids_oktober_2016.pdf"
"03VT00",NA
"03VV00",NA
"03VW00","http://www.merwijck.nl/downloads/schoolgids%202017%202018.pdf"
"03VX00","http://elsenhof.nl/ppinhoud/uploads/2016/12/Schoolgids17-18.pdf"
"03VZ00","https://www.bs-despringplank.nl/downloads/Jaargebonden%20deel%20Schoolgids%202017-2018%20BS%20De%20Springplank.pdf"
"03WD00","https://www.dekingbeek.nl/bestanden/38/Schoolgids-2016-2017.pdf"
